time = 25	Re = 0.5	40	80
0.364995	0.311735	-0.004921	14
0.380203	0.324724	-0.006791	15
0.395411	0.337713	-0.009057	16
0.410619	0.350702	-0.011763	17
0.425828	0.363691	-0.014952	18
0.441036	0.376680	-0.018668	19
0.456244	0.389669	-0.022953	20
0.471452	0.402658	-0.027847	21
0.486660	0.415646	-0.033389	22
0.501868	0.428635	-0.039614	23
0.517076	0.441624	-0.046550	24
0.532284	0.454613	-0.054225	25
0.547493	0.467602	-0.062659	26
0.562701	0.480591	-0.071867	27
0.577909	0.493580	-0.081862	28
0.593117	0.506569	-0.092651	29
0.608325	0.519558	-0.104236	30
0.623533	0.532547	-0.116620	31
0.638741	0.545536	-0.129802	32
0.653949	0.558525	-0.143779	33
0.669158	0.571514	-0.158549	34
0.684366	0.584503	-0.174112	35
0.699574	0.597492	-0.190467	36
0.714782	0.610481	-0.207618	37
0.729990	0.623470	-0.225569	38
0.745198	0.636459	-0.244329	39
0.760406	0.649448	-0.263914	40
8
0.141421	0.141421	0.000000	0
0.155564	0.155563	0.000042	1
0.169706	0.169706	0.000138	2
0.183848	0.183848	0.000258	3
0.197990	0.197990	0.000377	4
0.212132	0.212132	0.000474	5
0.226274	0.226274	0.000524	6
0.240416	0.240416	0.000504	7
0.254559	0.254558	0.000389	8
0.268701	0.268700	0.000153	9
0.282843	0.282843	-0.000235	10
0.296985	0.296985	-0.000806	11
0.311127	0.311127	-0.001595	12
0.325269	0.325269	-0.002640	13
0.339411	0.339411	-0.003980	14
0.353554	0.353553	-0.005661	15
0.367696	0.367695	-0.007727	16
0.381838	0.381837	-0.010228	17
0.395980	0.395980	-0.013212	18
0.410122	0.410122	-0.016731	19
0.424264	0.424264	-0.020834	20
0.438406	0.438406	-0.025570	21
0.452549	0.452548	-0.030984	22
0.466691	0.466690	-0.037118	23
0.480833	0.480832	-0.044006	24
0.494975	0.494974	-0.051678	25
0.509117	0.509117	-0.060158	26
0.523259	0.523259	-0.069459	27
0.537402	0.537401	-0.079590	28
0.551544	0.551543	-0.090554	29
0.565686	0.565685	-0.102349	30
0.579828	0.579827	-0.114966	31
0.593970	0.593969	-0.128398	32
0.608112	0.608111	-0.142631	33
0.622254	0.622254	-0.157654	34
0.636397	0.636396	-0.173455	35
0.650539	0.650538	-0.190025	36
0.664681	0.664680	-0.207357	37
0.678823	0.678822	-0.225448	38
0.692965	0.692964	-0.244298	39
0.707107	0.707106	-0.263914	40
9
0.129890	0.152081	0.000000	0
0.142879	0.167289	0.000040	1
0.155868	0.182497	0.000132	2
0.168857	0.197705	0.000250	3
0.181846	0.212914	0.000374	4
0.194835	0.228122	0.000484	5
0.207824	0.243330	0.000559	6
0.220813	0.258538	0.000579	7
0.233801	0.273746	0.000523	8
0.246790	0.288954	0.000365	9
0.259779	0.304162	0.000080	10
0.272768	0.319370	-0.000363	11
0.285757	0.334578	-0.000999	12
0.298746	0.349787	-0.001863	13
0.311735	0.364995	-0.002999	14
0.324724	0.380203	-0.004451	15
0.337713	0.395411	-0.006271	16
0.350702	0.410619	-0.008511	17
0.363691	0.425827	-0.011228	18
0.376680	0.441035	-0.014483	19
0.389669	0.456243	-0.018335	20
0.402658	0.471451	-0.022843	21
0.415647	0.486660	-0.028064	22
0.428636	0.501868	-0.034050	23
0.441625	0.517076	-0.040845	24
0.454614	0.532284	-0.048485	25
0.467603	0.547492	-0.056995	26
0.480592	0.562700	-0.066391	27
0.493581	0.577908	-0.076679	28
0.506570	0.593116	-0.087854	29
0.519559	0.608324	-0.099905	30
0.532548	0.623533	-0.112816	31
0.545537	0.638741	-0.126564	32
0.558526	0.653949	-0.141126	33
0.571515	0.669157	-0.156475	34
0.584504	0.684365	-0.172587	35
0.597493	0.699573	-0.189439	36
0.610482	0.714781	-0.207010	37
0.623471	0.729989	-0.225285	38
0.636460	0.745197	-0.244254	39
0.649449	0.760405	-0.263914	40
10
0.117557	0.161803	0.000000	0
0.129313	0.177984	0.000035	1
0.141069	0.194164	0.000119	2
0.152824	0.210344	0.000230	3
0.164580	0.226525	0.000350	4
0.176336	0.242705	0.000463	5
0.188091	0.258885	0.000554	6
0.199847	0.275066	0.000606	7
0.211603	0.291246	0.000601	8
0.223359	0.307426	0.000517	9
