time = 8	Re = 40	40	80
0.180623	0.142392	0.007421	2
0.196329	0.154773	0.011831	3
0.212036	0.167155	0.017803	4
0.227742	0.179537	0.024463	5
0.243448	0.191919	0.030821	6
0.259155	0.204301	0.035857	7
0.274861	0.216683	0.038647	8
0.290567	0.229065	0.038501	9
0.306274	0.241446	0.035143	10
0.321980	0.253828	0.028924	11
0.337686	0.266210	0.021052	12
0.353393	0.278592	0.013809	13
0.369099	0.290974	0.010729	14
0.384805	0.303356	0.016657	15
0.400512	0.315738	0.037666	16
0.416218	0.328120	0.080804	17
0.431925	0.340501	0.153659	18
0.447631	0.352883	0.263521	19
0.463337	0.365265	0.416590	20
0.479044	0.377647	0.617140	21
0.494750	0.390029	0.866872	22
0.510456	0.402411	1.164562	23
0.526163	0.414793	1.505960	24
0.541869	0.427175	1.884145	25
0.557575	0.439556	2.290173	26
0.573282	0.451938	2.713857	27
0.588988	0.464320	3.144557	28
0.604694	0.476702	3.571891	29
0.620401	0.489084	3.986391	30
0.636107	0.501466	4.380150	31
0.651813	0.513848	4.747552	32
0.667520	0.526229	5.086098	33
0.683226	0.538611	5.397329	34
0.698932	0.550993	5.687806	35
0.714639	0.563375	5.970104	36
0.730345	0.575757	6.263805	37
0.746051	0.588139	6.596516	38
0.761758	0.600521	7.004987	39
0.777464	0.612903	7.536407	40
8
0.154208	0.142548	0.005445	1
0.168894	0.156124	0.007492	2
0.183581	0.169700	0.012170	3
0.198267	0.183276	0.018601	4
0.212954	0.196852	0.025850	5
0.227640	0.210428	0.032845	6
0.242327	0.224004	0.038482	7
0.257013	0.237580	0.041753	8
0.271699	0.251156	0.041897	9
0.286386	0.264732	0.038594	10
0.301072	0.278308	0.032194	11
0.315759	0.291884	0.023963	12
0.330445	0.305460	0.016306	13
0.345132	0.319036	0.012943	14
0.359818	0.332612	0.018951	15
0.374505	0.346188	0.040631	16
0.389191	0.359764	0.085192	17
0.403878	0.373340	0.160210	18
0.418564	0.386916	0.272772	19
0.433251	0.400492	0.428570	20
0.447937	0.414068	0.631076	21
0.462623	0.427644	0.880865	22
0.477310	0.441220	1.175381	23
0.491996	0.454796	1.509213	24
0.506683	0.468372	1.874802	25
0.521369	0.481948	2.263332	26
0.536056	0.495524	2.665681	27
0.550742	0.509100	3.073247	28
0.565429	0.522676	3.478499	29
0.580115	0.536252	3.875324	30
