time = 8	Re = 0.5	40	80
0.235595	0.185728	0.001205	5
0.251302	0.198110	0.001489	6
0.267008	0.210492	0.001746	7
0.282714	0.222874	0.001964	8
0.298421	0.235256	0.002132	9
0.314127	0.247637	0.002239	10
0.329833	0.260019	0.002277	11
0.345540	0.272401	0.002237	12
0.361246	0.284783	0.002114	13
0.376952	0.297165	0.001905	14
0.392659	0.309547	0.001612	15
0.408365	0.321929	0.001241	16
0.424071	0.334310	0.000802	17
0.439778	0.346692	0.000310	18
0.455484	0.359074	-0.000215	19
0.471190	0.371456	-0.000751	20
0.486897	0.383838	-0.001273	21
0.502603	0.396220	-0.001755	22
0.518309	0.408602	-0.002175	23
0.534016	0.420984	-0.002513	24
0.549722	0.433365	-0.002755	25
0.565428	0.445747	-0.002894	26
0.581135	0.458129	-0.002930	27
0.596841	0.470511	-0.002867	28
0.612547	0.482893	-0.002717	29
0.628254	0.495275	-0.002493	30
0.643960	0.507657	-0.002212	31
0.659667	0.520039	-0.001893	32
0.675373	0.532420	-0.001554	33
0.691079	0.544802	-0.001213	34
0.706786	0.557184	-0.000887	35
0.722492	0.569566	-0.000594	36
0.738198	0.581948	-0.000347	37
0.753905	0.594330	-0.000160	38
0.769611	0.606712	-0.000041	39
0.785317	0.619094	0.000000	40
0.801024	0.631475	0.000000	41
8
0.146865	0.135760	0.000000	0
0.161551	0.149336	-0.000110	1
0.176238	0.162912	-0.000333	2
0.190924	0.176488	-0.000610	3
0.205610	0.190064	-0.000908	4
0.220297	0.203640	-0.001208	5
0.234983	0.217216	-0.001493	6
0.249670	0.230792	-0.001753	7
0.264356	0.244368	-0.001974	8
0.279043	0.257944	-0.002147	9
0.293729	0.271520	-0.002261	10
0.308416	0.285096	-0.002306	11
0.323102	0.298672	-0.002276	12
0.337789	0.312248	-0.002165	13
0.352475	0.325824	-0.001971	14
0.367161	0.339400	-0.001695	15
0.381848	0.352976	-0.001344	16
0.396534	0.366552	-0.000927	17
0.411221	0.380128	-0.000459	18
0.425907	0.393704	0.000041	19
0.440594	0.407280	0.000550	20
0.455280	0.420856	0.001044	21
0.469967	0.434432	0.001500	22
0.484653	0.448008	0.001895	23
0.499340	0.461584	0.002212	24
0.514026	0.475160	0.002438	25
0.528713	0.488736	0.002566	26
0.543399	0.502312	0.002598	27
0.558085	0.515888	0.002540	28
0.572772	0.529464	0.002402	29
0.587458	0.543040	0.002199	30
0.602145	0.556616	0.001946	31
0.616831	0.570192	0.001660	32
0.631518	0.583768	0.001359	33
0.646204	0.597344	0.001058	34
0.660891	0.610920	0.000772	35
0.675577	0.624496	0.000516	36
0.690264	0.638072	0.000301	37
0.704950	0.651648	0.000138	38
0.719636	0.665224	0.000036	39
0.734323	0.678800	0.000000	40
0.749009	0.692376	0.000000	41
9
0.135760	0.146864	0.000000	0
0.149336	0.161551	-0.000320	1
0.162912	0.176237	-0.000972	2
0.176488	0.190924	-0.001781	3
0.190064	0.205610	-0.002654	4
0.203640	0.220297	-0.003533	5
0.217216	0.234983	-0.004375	6
0.230792	0.249669	-0.005144	7
0.244368	0.264356	-0.005806	8
0.257944	0.279042	-0.006326	9
0.271521	0.293729	-0.006675	10
0.285097	0.308415	-0.006823	11
0.298673	0.323102	-0.006746	12
0.312249	0.337788	-0.006427	13
0.325825	0.352475	-0.005856	14
0.339401	0.367161	-0.005034	15
0.352977	0.381847	-0.003975	16
0.366553	0.396534	-0.002707	17
0.380129	0.411220	-0.001273	18
0.393705	0.425907	0.000272	19
0.407281	0.440593	0.001858	20
0.420857	0.455280	0.003410	21
0.434433	0.469966	0.004850	22
0.448009	0.484653	0.006107	23
0.461585	0.499339	0.007119	24
0.475161	0.514025	0.007844	25
0.488737	0.528712	0.008260	26
0.502313	0.543398	0.008367	27
0.515889	0.558085	0.008184	28
0.529465	0.572771	0.007745	29
0.543041	0.587458	0.007095	30
0.556617	0.602144	0.006284	31
0.570193	0.616831	0.005367	32
0.583769	0.631517	0.004398	33
0.597345	0.646203	0.003428	34
0.610921	0.660890	0.002506	35
0.624497	0.675576	0.001677	36
0.638073	0.690263	0.000981	37
0.651649	0.704949	0.000452	38
0.665225	0.719636	0.000118	39
0.678801	0.734322	0.000000	40
0.692377	0.749008	0.000000	41
10
0.123819	0.157063	0.000000	0
0.136201	0.172770	-0.000501	1
0.148583	0.188476	-0.001525	2
0.160965	0.204182	-0.002800	3
0.173346	0.219889	-0.004184	4
0.185728	0.235595	-0.005589	5
0.198110	0.251301	-0.006949	6
0.210492	0.267008	-0.008205	7
0.222874	0.282714	-0.009303	8
0.235256	0.298420	-0.010189	9
0.247638	0.314127	-0.010811	10
0.260020	0.329833	-0.011119	11
0.272402	0.345539	-0.011069	12
0.284783	0.361246	-0.010624	13
0.297165	0.376952	-0.009760	14
0.309547	0.392658	-0.008467	15
0.321929	0.408365	-0.006757	16
0.334311	0.424071	-0.004666	17
0.346693	0.439777	-0.002257	18
0.359075	0.455484	0.000383	19
0.371457	0.471190	0.003136	20
0.383839	0.486896	0.005869	21
0.396221	0.502603	0.008438	22
0.408602	0.518309	0.010701	23
0.420984	0.534015	0.012539	24
0.433366	0.549722	0.013864	25
0.445748	0.565428	0.014631	26
0.458130	0.581134	0.014837	27
0.470512	0.596841	0.014518	28
0.482894	0.612547	0.013739	29
0.495276	0.628253	0.012583	30
0.507658	0.643959	0.011144	31
0.520039	0.659666	0.009519	32
0.532421	0.675372	0.007802	33
0.544803	0.691078	0.006086	34
0.557185	0.706785	0.004456	35
0.569567	0.722491	0.002988	36
0.581949	0.738197	0.001752	37
0.594331	0.753904	0.000810	38
0.606713	0.769610	0.000212	39
0.619095	0.785316	0.000000	40
0.631476	0.801023	0.000000	41
11
0.111114	0.166294	0.000000	0
0.122226	0.182923	-0.000634	1
0.133337	0.199553	-0.001933	2
0.144448	0.216182	-0.003563	3
0.155560	0.232811	-0.005349	4
0.166671	0.249441	-0.007184	5
0.177783	0.266070	-0.008984	6
0.188894	0.282700	-0.010677	7
0.200006	0.299329	-0.012192	8
0.211117	0.315958	-0.013458	9
0.222228	0.332588	-0.014404	10
0.233340	0.349217	-0.014959	11
0.244451	0.365846	-0.015053	12
0.255563	0.382476	-0.014624	13
0.266674	0.399105	-0.013620	14
0.277785	0.415735	-0.012008	15
0.288897	0.432364	-0.009777	16
0.300008	0.448993	-0.006951	17
0.311120	0.465623	-0.003593	18
0.322231	0.482252	0.000189	19
0.333343	0.498881	0.004238	20
0.344454	0.515511	0.008351	21
0.355565	0.532140	0.012297	22
0.366677	0.548770	0.015832	23
0.377788	0.565399	0.018734	24
0.388900	0.582028	0.020839	25
0.400011	0.598658	0.022062	26
0.411122	0.615287	0.022398	27
0.422234	0.631917	0.021913	28
0.433345	0.648546	0.020717	29
0.444457	0.665175	0.018952	30
0.455568	0.681805	0.016766	31
0.466680	0.698434	0.014310	32
0.477791	0.715063	0.011727	33
0.488902	0.731693	0.009153	34
0.500014	0.748322	0.006710	35
0.511125	0.764952	0.004510	36
