time = 12.001	Re = 0.5	40	80
0.577909	0.493580	-0.055320	28
0.593117	0.506569	-0.064532	29
0.608325	0.519558	-0.074585	30
0.623533	0.532547	-0.085498	31
0.638741	0.545536	-0.097291	32
0.653949	0.558525	-0.109979	33
0.669158	0.571514	-0.123579	34
0.684366	0.584503	-0.138107	35
0.699574	0.597492	-0.153583	36
0.714782	0.610481	-0.170023	37
0.729990	0.623470	-0.187451	38
0.745198	0.636459	-0.205887	39
0.760406	0.649448	-0.225359	40
8
0.141421	0.141421	0.000000	0
0.155564	0.155563	0.000073	1
0.169706	0.169706	0.000270	2
0.183848	0.183848	0.000556	3
0.197990	0.197990	0.000905	4
0.212132	0.212132	0.001291	5
0.226274	0.226274	0.001689	6
0.240416	0.240416	0.002075	7
0.254559	0.254558	0.002425	8
0.268701	0.268700	0.002713	9
0.282843	0.282843	0.002909	10
0.296985	0.296985	0.002985	11
0.311127	0.311127	0.002907	12
0.325269	0.325269	0.002641	13
0.339411	0.339411	0.002147	14
0.353554	0.353553	0.001385	15
0.367696	0.367695	0.000311	16
0.381838	0.381837	-0.001120	17
0.395980	0.395980	-0.002957	18
0.410122	0.410122	-0.005251	19
0.424264	0.424264	-0.008050	20
0.438406	0.438406	-0.011405	21
0.452549	0.452548	-0.015365	22
0.466691	0.466690	-0.019976	23
0.480833	0.480832	-0.025283	24
0.494975	0.494974	-0.031324	25
0.509117	0.509117	-0.038135	26
0.523259	0.523259	-0.045745	27
0.537402	0.537401	-0.054180	28
0.551544	0.551543	-0.063462	29
0.565686	0.565685	-0.073608	30
0.579828	0.579827	-0.084633	31
0.593970	0.593969	-0.096549	32
0.608112	0.608111	-0.109368	33
0.622254	0.622254	-0.123099	34
0.636397	0.636396	-0.137754	35
0.650539	0.650538	-0.153345	36
0.664681	0.664680	-0.169883	37
0.678823	0.678822	-0.187385	38
0.692965	0.692964	-0.205870	39
0.707107	0.707106	-0.225359	40
9
0.129890	0.152081	0.000000	0
0.142879	0.167289	0.000062	1
0.155868	0.182497	0.000231	2
0.168857	0.197705	0.000481	3
0.181846	0.212914	0.000788	4
0.194835	0.228122	0.001130	5
0.207824	0.243330	0.001488	6
0.220813	0.258538	0.001841	7
0.233801	0.273746	0.002168	8
0.246790	0.288954	0.002446	9
0.259779	0.304162	0.002651	10
0.272768	0.319370	0.002753	11
0.285757	0.334578	0.002724	12
0.298746	0.349787	0.002528	13
0.311735	0.364995	0.002129	14
0.324724	0.380203	0.001486	15
0.337713	0.395411	0.000552	16
0.350702	0.410619	-0.000722	17
0.363691	0.425827	-0.002388	18
0.376680	0.441035	-0.004501	19
0.389669	0.456243	-0.007120	20
0.402658	0.471451	-0.010301	21
0.415647	0.486660	-0.014103	22
0.428636	0.501868	-0.018579	23
0.441625	0.517076	-0.023781	24
0.454614	0.532284	-0.029753	25
0.467603	0.547492	-0.036534	26
0.480592	0.562700	-0.044156	27
0.493581	0.577908	-0.052643	28
0.506570	0.593116	-0.062014	29
0.519559	0.608324	-0.072281	30
0.532548	0.623533	-0.083452	31
0.545537	0.638741	-0.095534	32
0.558526	0.653949	-0.108529	33
0.571515	0.669157	-0.122439	34
0.584504	0.684365	-0.137266	35
0.597493	0.699573	-0.153014	36
0.610482	0.714781	-0.169687	37
0.623471	0.729989	-0.187294	38
0.636460	0.745197	-0.205846	39
0.649449	0.760405	-0.225359	40
10
0.117557	0.161803	0.000000	0
0.129313	0.177984	0.000049	1
0.141069	0.194164	0.000187	2
0.152824	0.210344	0.000395	3
0.164580	0.226525	0.000653	4
0.176336	0.242705	0.000945	5
0.188091	0.258885	0.001254	6
0.199847	0.275066	0.001565	7
0.211603	0.291246	0.001859	8
0.223359	0.307426	0.002119	9
0.235114	0.323607	0.002324	10
0.246870	0.339787	0.002449	11
0.258626	0.355967	0.002467	12
0.270382	0.372148	0.002348	13
0.282137	0.388328	0.002056	14
0.293893	0.404508	0.001549	15
0.305649	0.420689	0.000782	16
0.317404	0.436869	-0.000296	17
0.329160	0.453049	-0.001744	18
0.340916	0.469230	-0.003623	19
0.352672	0.485410	-0.005999	20
0.364427	0.501590	-0.008941	21
0.376183	0.517771	-0.012519	22
0.387939	0.533951	-0.016799	23
0.399694	0.550131	-0.021844	24
0.411450	0.566312	-0.027708	25
0.423206	0.582492	-0.034435	26
0.434962	0.598672	-0.042060	27
0.446717	0.614853	-0.050606	28
0.458473	0.631033	-0.060087	29
0.470229	0.647213	-0.070509	30
0.481984	0.663394	-0.081872	31
0.493740	0.679574	-0.094171	32
0.505496	0.695754	-0.107398	33
0.517252	0.711935	-0.121546	34
0.529007	0.728115	-0.136603	35
0.540763	0.744295	-0.152562	36
0.552519	0.760476	-0.169418	37
0.564274	0.776656	-0.187167	38
0.576030	0.792836	-0.205812	39
0.587786	0.809017	-0.225359	40
11
0.104500	0.170528	0.000000	0
0.114950	0.187581	0.000034	1
0.125400	0.204634	0.000140	2
0.135850	0.221686	0.000301	3
0.146300	0.238739	0.000505	4
0.156750	0.255792	0.000739	5
0.167200	0.272845	0.000991	6
0.177650	0.289898	0.001249	7
0.188100	0.306950	0.001500	8
0.198550	0.324003	0.001731	9
0.209000	0.341056	0.001925	10
0.219450	0.358109	0.002063	11
0.229900	0.375161	0.002123	12
0.240350	0.392214	0.002078	13
0.250800	0.409267	0.001896	14
0.261250	0.426320	0.001539	15
0.271700	0.443373	0.000964	16
0.282150	0.460425	0.000116	17
0.292600	0.477478	-0.001063	18
0.303050	0.494531	-0.002642	19
0.313500	0.511584	-0.004700	20
0.323950	0.528637	-0.007318	21
0.334400	0.545689	-0.010583	22
0.344850	0.562742	-0.014582	23
0.355300	0.579795	-0.019396	24
0.365750	0.596848	-0.025093	25
0.376199	0.613901	-0.031730	26
0.386649	0.630953	-0.039343	27
0.397099	0.648006	-0.047955	28
0.407549	0.665059	-0.057573	29
0.417999	0.682112	-0.068192	30
0.428449	0.699165	-0.079802	31
0.438899	0.716217	-0.092382	32
0.449349	0.733270	-0.105912	33
