time = 12.001	Re = 0.5	40	80
0.209399	0.117269	-0.000852	2
0.226849	0.127041	-0.001555	3
0.244299	0.136814	-0.002237	4
0.261749	0.146586	-0.002805	5
0.279199	0.156359	-0.003202	6
0.296649	0.166131	-0.003391	7
0.314099	0.175904	-0.003357	8
0.331549	0.185676	-0.003099	9
0.348998	0.195448	-0.002628	10
0.366448	0.205221	-0.001962	11
0.383898	0.214993	-0.001127	12
0.401348	0.224766	-0.000157	13
0.418798	0.234538	0.000911	14
0.436248	0.244310	0.002038	15
0.453698	0.254083	0.003182	16
0.471148	0.263855	0.004302	17
0.488598	0.273628	0.005357	18
0.506048	0.283400	0.006311	19
0.523498	0.293173	0.007131	20
0.540948	0.302945	0.007790	21
0.558398	0.312717	0.008268	22
0.575848	0.322490	0.008552	23
0.593297	0.332262	0.008638	24
0.610747	0.342035	0.008531	25
0.628197	0.351807	0.008241	26
0.645647	0.361579	0.007786	27
0.663097	0.371352	0.007192	28
0.680547	0.381124	0.006486	29
0.697997	0.390897	0.005699	30
0.715447	0.400669	0.004866	31
0.732897	0.410442	0.004020	32
0.750347	0.420214	0.003193	33
0.767797	0.429986	0.002416	34
0.785247	0.439759	0.001715	35
0.802697	0.449531	0.001114	36
0.820146	0.459304	0.000632	37
0.837596	0.469076	0.000281	38
0.855046	0.478848	0.000070	39
0.872496	0.488621	0.000000	40
0.889946	0.498393	0.000000	41
6
0.166294	0.111114	0.000000	0
0.182923	0.122225	-0.000347	1
0.199553	0.133337	-0.001098	2
0.216182	0.144448	-0.001998	3
0.232812	0.155560	-0.002876	4
0.249441	0.166671	-0.003617	5
0.266070	0.177782	-0.004148	6
0.282700	0.188894	-0.004422	7
0.299329	0.200005	-0.004418	8
0.315959	0.211117	-0.004128	9
0.332588	0.222228	-0.003561	10
0.349217	0.233339	-0.002735	11
0.365847	0.244451	-0.001680	12
0.382476	0.255562	-0.000433	13
0.399106	0.266674	0.000961	14
0.415735	0.277785	0.002454	15
0.432364	0.288896	0.003992	16
0.448994	0.300008	0.005520	17
0.465623	0.311119	0.006982	18
0.482253	0.322230	0.008326	19
0.498882	0.333342	0.009504	20
0.515511	0.344453	0.010474	21
0.532141	0.355565	0.011203	22
0.548770	0.366676	0.011670	23
0.565400	0.377787	0.011863	24
0.582029	0.388899	0.011783	25
0.598658	0.400010	0.011443	26
0.615288	0.411122	0.010866	27
0.631917	0.422233	0.010083	28
0.648547	0.433344	0.009133	29
0.665176	0.444456	0.008060	30
0.681805	0.455567	0.006911	31
0.698435	0.466679	0.005733	32
0.715064	0.477790	0.004573	33
0.731694	0.488901	0.003475	34
0.748323	0.500013	0.002478	35
0.764952	0.511124	0.001618	36
0.781582	0.522236	0.000923	37
0.798211	0.533347	0.000413	38
0.814840	0.544458	0.000104	39
0.831470	0.555570	0.000000	40
0.848099	0.566681	0.000000	41
7
0.157063	0.123819	0.000000	0
0.172770	0.136201	-0.000440	1
0.188476	0.148582	-0.001380	2
0.204182	0.160964	-0.002507	3
0.219889	0.173346	-0.003614	4
0.235595	0.185728	-0.004563	5
0.251302	0.198110	-0.005264	6
0.267008	0.210492	-0.005659	7
0.282714	0.222874	-0.005716	8
0.298421	0.235256	-0.005419	9
0.314127	0.247637	-0.004770	10
0.329833	0.260019	-0.003786	11
0.345540	0.272401	-0.002495	12
0.361246	0.284783	-0.000936	13
0.376952	0.297165	0.000841	14
0.392659	0.309547	0.002777	15
0.408365	0.321929	0.004806	16
0.424071	0.334310	0.006856	17
0.439778	0.346692	0.008854	18
0.455484	0.359074	0.010726	19
0.471190	0.371456	0.012401	20
0.486897	0.383838	0.013816	21
0.502603	0.396220	0.014918	22
0.518309	0.408602	0.015670	23
0.534016	0.420984	0.016047	24
0.549722	0.433365	0.016045	25
0.565428	0.445747	0.015674	26
0.581135	0.458129	0.014963	27
0.596841	0.470511	0.013953	28
0.612547	0.482893	0.012696	29
0.628254	0.495275	0.011253	30
0.643960	0.507657	0.009689	31
0.659667	0.520039	0.008071	32
0.675373	0.532420	0.006464	33
0.691079	0.544802	0.004933	34
0.706786	0.557184	0.003534	35
0.722492	0.569566	0.002319	36
0.738198	0.581948	0.001329	37
0.753905	0.594330	0.000599	38
0.769611	0.606712	0.000152	39
0.785317	0.619094	0.000000	40
0.801024	0.631475	0.000000	41
8
0.146865	0.135760	0.000000	0
0.161551	0.149336	-0.000542	1
0.176238	0.162912	-0.001688	2
0.190924	0.176488	-0.003062	3
0.205610	0.190064	-0.004425	4
0.220297	0.203640	-0.005616	5
0.234983	0.217216	-0.006527	6
0.249670	0.230792	-0.007088	7
0.264356	0.244368	-0.007250	8
0.279043	0.257944	-0.006989	9
0.293729	0.271520	-0.006296	10
0.308416	0.285096	-0.005178	11
0.323102	0.298672	-0.003658	12
0.337789	0.312248	-0.001772	13
0.352475	0.325824	0.000427	14
0.367161	0.339400	0.002876	15
0.381848	0.352976	0.005496	16
0.396534	0.366552	0.008199	17
0.411221	0.380128	0.010887	18
0.425907	0.393704	0.013460	19
0.440594	0.407280	0.015817	20
0.455280	0.420856	0.017862	21
0.469967	0.434432	0.019512	22
0.484653	0.448008	0.020700	23
0.499340	0.461584	0.021382	24
0.514026	0.475160	0.021539	25
0.528713	0.488736	0.021179	26
0.543399	0.502312	0.020333	27
0.558085	0.515888	0.019056	28
0.572772	0.529464	0.017419	29
0.587458	0.543040	0.015504	30
0.602145	0.556616	0.013403	31
0.616831	0.570192	0.011209	32
0.631518	0.583768	0.009014	33
0.646204	0.597344	0.006908	34
0.660891	0.610920	0.004971	35
0.675577	0.624496	0.003277	36
0.690264	0.638072	0.001888	37
0.704950	0.651648	0.000856	38
0.719636	0.665224	0.000219	39
0.734323	0.678800	0.000000	40
0.749009	0.692376	0.000000	41
9
0.135760	0.146864	0.000000	0
0.149336	0.161551	-0.000646	1
0.162912	0.176237	-0.001999	2
0.176488	0.190924	-0.003627	3
0.190064	0.205610	-0.005260	4
0.203640	0.220297	-0.006718	5
0.217216	0.234983	-0.007878	6
0.230792	0.249669	-0.008653	7
0.244368	0.264356	-0.008982	8
0.257944	0.279042	-0.008821	9
0.271521	0.293729	-0.008149	10
0.285097	0.308415	-0.006956	11
0.298673	0.323102	-0.005252	12
0.312249	0.337788	-0.003063	13
0.325825	0.352475	-0.000435	14
0.339401	0.367161	0.002569	15
0.352977	0.381847	0.005865	16
0.366553	0.396534	0.009349	17
0.380129	0.411220	0.012900	18
0.393705	0.425907	0.016384	19
0.407281	0.440593	0.019660	20
0.420857	0.455280	0.022584	21
0.434433	0.469966	0.025025	22
0.448009	0.484653	0.026871	23
0.461585	0.499339	0.028039	24
0.475161	0.514025	0.028487	25
0.488737	0.528712	0.028211	26
0.502313	0.543398	0.027246	27
0.515889	0.558085	0.025664	28
0.529465	0.572771	0.023561	29
0.543041	0.587458	0.021054	30
0.556617	0.602144	0.018268	31
0.570193	0.616831	0.015333	32
0.583769	0.631517	0.012376	33
0.597345	0.646203	0.009521	34
0.610921	0.660890	0.006880	35
0.624497	0.675576	0.004557	36
0.638073	0.690263	0.002640	37
0.651649	0.704949	0.001204	38
0.665225	0.719636	0.000310	39
0.678801	0.734322	0.000000	40
0.692377	0.749008	0.000000	41
10
0.123819	0.157063	0.000000	0
0.136201	0.172770	-0.000741	1
0.148583	0.188476	-0.002280	2
0.160965	0.204182	-0.004141	3
0.173346	0.219889	-0.006034	4
0.185728	0.235595	-0.007767	5
0.198110	0.251301	-0.009203	6
0.210492	0.267008	-0.010241	7
0.222874	0.282714	-0.010804	8
0.235256	0.298420	-0.010830	9
0.247638	0.314127	-0.010276	10
0.260020	0.329833	-0.009112	11
0.272402	0.345539	-0.007325	12
0.284783	0.361246	-0.004919	13
0.297165	0.376952	-0.001919	14
0.309547	0.392658	0.001623	15
0.321929	0.408365	0.005630	16
0.334311	0.424071	0.009993	17
0.346693	0.439777	0.014573	18
0.359075	0.455484	0.019201	19
0.371457	0.471190	0.023684	20
0.383839	0.486896	0.027814	21
0.396221	0.502603	0.031384	22
0.408602	0.518309	0.034206	23
0.420984	0.534015	0.036132	24
0.433366	0.549722	0.037070	25
0.445748	0.565428	0.036994	26
